πληροφορίες,ημνία_πλειστηριασμού,μοναδικός_κωδικός,τύπος_ακινήτου,περιφέρεια,δήμος,επιφάνεια,όροφος,έτος_κατασκευής,κατάσταση_πλειστηριασμού,τιμή_εκκίνησης (€),ακρίβεια_τοποθεσίας,latitude,longitude,year_range,surface_range
https://www.eauction.gr/Auction/Details/0h65cd1aad5k6had2e753i4c642kbg50,12/02/2020,ghHrxTPamh-004,Αποθήκη,Αττικής,Λυκόβρυσης - Πεύκης,20.34,Υπόγειο,2003.0,Ολοκληρωμένος,8000,ναι,38.0660416,23.7931706,2000-2009,<50
https://www.eauction.gr/Auction/Details/206e063h6j_101c0_002c0_f2i0c313g,12/02/2020,ghHrxTPamh-005,Αποθήκη,Αττικής,Λυκόβρυσης - Πεύκης,8089.0,Υπόγειο,2003.0,Ολοκληρωμένος,4000,ναι,38.0660416,23.7931706,2000-2009,
https://www.eauction.gr/Auction/Details/1i3f6a1_25b6d57ia74k4f425a50a52k,26/02/2020,iuNtZrQcjr,Κατοικία,Αττικής,Αθηναίων,116.83,,,Ολοκληρωμένος,110755,ναι,37.9963278,23.7255781,,100-149
https://www.eauction.gr/Auction/Details/6hai1a7d5gcc4jdd0i6d5e0bdc2a5jc3,01/04/2020,3Ry4NMJdxq,Κατοικία,Αττικής,Κορυδαλλού,101.0,,,Ματαιωμένος,86854,ναι,37.9752712,23.654503,,100-149
https://www.eauction.gr/Auction/Details/1hci654e54_2d06ba_05634bccb44g64,11/03/2020,xjbH3P282t,Αγροτεμάχιο με κτίσμα,Αττικής,Μαρκοπούλου Μεσογαίας,4302.0,,,Ολοκληρωμένος,120220,όχι,37.8833564,23.9333037,,
https://www.eauction.gr/Auction/Details/0i7h6g64227ddba0363bdd3baj017ia2,23/09/2020,FBXxfwWwoy,Κατοικία,Αττικής,Νέας Ιωνίας,323.0,,1972.0,Ματαιωμένος,242295,ναι,38.029637,23.749896,1970-1989,300-399
https://www.eauction.gr/Auction/Details/bfda3fb44g47736ed00hded4ak1k_4af,07/10/2020,rhvLwYWHdO-001,Κατοικία,Αττικής,Αθηναίων,89.5,3ος,2006.0,Ματαιωμένος,123800,ναι,38.0070581,23.7182241,2000-2009,50-99
https://www.eauction.gr/Auction/Details/727k64505j0cckca6j7ba5ahbec15d32,07/10/2020,rhvLwYWHdO-002,Αποθήκη,Αττικής,Αθηναίων,16.0,Υπόγειο,2006.0,Ματαιωμένος,3150,ναι,38.0070581,23.7182241,2000-2009,<50
https://www.eauction.gr/Auction/Details/a12_b2062_71b37_d61311c11h1k71d4,21/10/2020,7ZoD1roJe7,Επαγγελματικοί Χώροι,Αττικής,Νικαίας - Αγίου Ιωάννου Ρέντη,52.0,,,Ολοκληρωμένος,25000,ναι,37.9629104,23.6424512,,50-99
https://www.eauction.gr/Auction/Details/_2c56cd_423_0d7_ca6c610c7j1hb2dd,14/10/2020,VnLV7bx9PK-002,Αποθήκη,Αττικής,Πετρούπολης,6.05,Υπόγειο,1999.0,Ματαιωμένος,1683,ναι,38.0459246,23.6835328,1990-1999,<50
https://www.eauction.gr/Auction/Details/1j3b1i03a_4336bfb7443fd2__2bb10d,14/10/2020,VnLV7bx9PK-001,Κατοικία,Αττικής,Πετρούπολης,72.4,5ος,1999.0,Ματαιωμένος,94073,ναι,38.0459246,23.6835328,1990-1999,50-99
https://www.eauction.gr/Auction/Details/d_6bbkb32271662d7ic60haeakabb15e,04/11/2020,2CfRR2P10B-001,Κατοικία,Αττικής,Νέας Σμύρνης,80.0,2ος,2005.0,Ολοκληρωμένος,166360,ναι,37.9391716,23.7194636,2000-2009,50-99
https://www.eauction.gr/Auction/Details/0ka74f_5ci13cb255i5b74_414d_602d,04/11/2020,2CfRR2P10B-002,Αποθήκη,Αττικής,Νέας Σμύρνης,7.68,Υπόγειο,2005.0,Ολοκληρωμένος,2504,ναι,37.9391716,23.7194636,2000-2009,<50
https://www.eauction.gr/Auction/Details/4_140dci605573_044b7026i2f213_36,30/10/2020,CL2FuNy5LT,Επαγγελματικοί Χώροι,Αττικής,Αθηναίων,135.73,,,Ολοκληρωμένος,182951,ναι,37.9998577,23.7200547,,100-149
https://www.eauction.gr/Auction/Details/cg1i7i1e1g513c0ib3dd4a5dc_d2b25f,14/10/2020,oEfjIqp5YO-001,Κατοικία,Αττικής,Βάρης - Βούλας - Βουλιαγμένης,126.08,,,Ολοκληρωμένος,346332,όχι,37.9815787,23.7262589,,100-149
https://www.eauction.gr/Auction/Details/5f4b7j7e12223_0fde053d1icf476b37,14/10/2020,oEfjIqp5YO-002,Αποθήκη,Αττικής,Βάρης - Βούλας - Βουλιαγμένης,16.0,,,Ολοκληρωμένος,4500,όχι,37.9815787,23.7262589,,<50
https://www.eauction.gr/Auction/Details/71242a77_34i_f7ia03i1d_2d17d1e6i,14/10/2020,oEfjIqp5YO-003,Θέση Στάθμευσης,Αττικής,Βάρης - Βούλας - Βουλιαγμένης,25.0,,,Ολοκληρωμένος,11111,όχι,37.9815787,23.7262589,,<50
https://www.eauction.gr/Auction/Details/6b7__b6abb313a6j0k274_1j0k04dga2,17/02/2021,S5Z3h5xdOT-001,Κατοικία,Αττικής,Παλαιού Φαλήρου,113.5,6ος,1998.0,Ματαιωμένος,296100,ναι,37.9291569,23.693401,1990-1999,100-149
https://www.eauction.gr/Auction/Details/6g0h0g142f446fba_j42ad1h_c2h3ccg,17/02/2021,S5Z3h5xdOT-002,Αποθήκη,Αττικής,Παλαιού Φαλήρου,10.12,Πυλωτή,1998.0,Ματαιωμένος,3000,ναι,37.9291569,23.693401,1990-1999,<50
