fid,id,NAME,KWD_YPES,NUMPOINTS,std_name,price,avg_price
2,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.7,Ιλίου,"9182",19.000000000000000,ιλίου,61600,82256.000
2,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.7,Ιλίου,"9182",19.000000000000000,ιλίου,107000,82256.000
2,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.7,Ιλίου,"9182",19.000000000000000,ιλίου,53000,82256.000
2,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.7,Ιλίου,"9182",19.000000000000000,ιλίου,51900,82256.000
2,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.7,Ιλίου,"9182",19.000000000000000,ιλίου,101000,82256.000
2,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.7,Ιλίου,"9182",19.000000000000000,ιλίου,20000,82256.000
2,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.7,Ιλίου,"9182",19.000000000000000,ιλίου,117800,82256.000
2,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.7,Ιλίου,"9182",19.000000000000000,ιλίου,45000,82256.000
2,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.7,Ιλίου,"9182",19.000000000000000,ιλίου,153000,82256.000
2,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.7,Ιλίου,"9182",19.000000000000000,ιλίου,43200,82256.000
2,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.7,Ιλίου,"9182",19.000000000000000,ιλίου,111000,82256.000
2,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.7,Ιλίου,"9182",19.000000000000000,ιλίου,60500,82256.000
2,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.7,Ιλίου,"9182",19.000000000000000,ιλίου,104000,82256.000
2,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.7,Ιλίου,"9182",19.000000000000000,ιλίου,80000,82256.000
2,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.7,Ιλίου,"9182",19.000000000000000,ιλίου,83500,82256.000
2,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.7,Ιλίου,"9182",19.000000000000000,ιλίου,123596,82256.000
3,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.8,Ύδρας,"9214",1.000000000000000,ύδρας,120000,120000.000
4,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.9,Αίγινας,"9208",5.000000000000000,αίγινας,186000,93533.333
4,c7b5978b-aca9-4d74-b8a5-d3a48d02f6d0.9,Αίγινας,"9208",5.000000000000000,αίγινας,43600,93533.333
